Nr.;Anrede;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;EMail;Eintragsdatum
600;Frau;Cathleen;Wessendorf;10.01.1920;Juliusstraße;83;92271;Freihung;09646/87099645;;;17.11.1989
601;Frau;Siegharda;Heintz;;Am Brandhahn;126;66482;Zweibrücken;06332/24458938;;sieghardaheintz@private.none;15.02.1977
602;Herr;Bertin;Levermann;;Königsallee;20;54673;Uppershausen;06564/32956644;0153/5700482;;12.05.2017
603;Frau;Rosmarie;Kaatz;;Memmertweg;108;92637;Weiden;;0165/3843535;r-58@domain.none;30.08.1983
604;Frau;Juditha;Frenkel;;Im Mühlengrund;189;79677;Aitern;07673/73822796;0171/1723044;;30.07.2006
605;Herr;Mario;Zenk;;Am Kranzfeld;87;86470;Thannhausen;08281/86661907;0153/3714269;mario-2000@justmail.none;09.12.2015
606;Herr;Karlpeter;Blümel;;Ziegelweg;137;52445;Titz;02463/89244248;0153/6272386;karlpeter_1968@net-mail.none;23.09.1986
607;Herr;Sighelm;Haberland;;Hansemannstraße;196;84175;Gerzen;08744/41102409;0163/4878746;sighelm_haberland@private.none;05.08.1954
608;Frau;Margarethe;Aydin;;Niederwambacher Straße;66;88422;Moosburg;07582/36523018;0171/5552633;;26.03.1998
609;Frau;Gerdhild;Specht;18.10.1981;Luchsweg;85;54587;Lissendorf;06597/41712000;0167/7247006;g-specht@mymail.none;07.11.1987
610;Frau;Hannelie;Rösler;;Am Steinhäuschen;52;63549;Ronneburg;06184/83420380;;hannelie-roesler@quickmail.none;12.08.2006
611;Herr;Freiwald;Brenner;;Gleditschstraße;172;45141;Essen;0201/79783677;0171/5046279;f_50@goggle-mail.none;26.03.1962
612;k.A.;Maxl;Fels;04.06.1911;Niersstraße;125;17111;Verchen;03994/46500746;0165/8009714;maxl.fels@trashmail.none;18.06.1989
613;Herr;Eckehart;Stegmüller;;Wabrichstraße;52;67663;Kaiserslautern;0631/42480526;0164/8814346;eckehart_stegmueller@live-mail.none;26.02.1983
614;k.A.;Eddi;Hilpert;;Barthstraße;38;39307;Zabakuck;;0166/2950538;e-hilpert@open-mail.none;27.09.2001
615;Frau;Friedoline;Straßburger;16.09.1928;Orsbeckstraße;44;97980;Niederstetten;07932/52092542;;f1928@web.none;27.09.1998
616;Herr;Heimbert;Nawrath;;Egmondstraße;115;56332;Dieblich;;0159/1530012;heimbert-nawrath@live-mail.none;27.01.2007
617;Frau;Maria;Tippmann;;Hunsrück-Höhen-Straße;149;54331;Pellingen;06501/46562607;;maria-tippmann@ultramail.none;06.12.2022
618;Herr;Erwin;Rapp;;Ginnerbach;134;84056;Rottenburg an der Laaber;;0158/1571124;e_rapp@live-mail.none;03.07.2015
619;Herr;Wolfhardt;Höfler;;Altbahnhofstraße;146;55606;Oberhausen;06752/56518660;0178/2038067;wolfhardt_41@funmail.none;18.10.2013
620;Herr;Erni;Streubel;;Hohe Fuhr;175;19322;Wittenberge;;0170/7491362;;14.08.1985
621;Herr;Ingowart;Stumpe;;Florinstraße;62;66976;Rodalben;06331/51526184;0174/8311467;ingowart.stumpe@spam-mail.none;23.08.2018
622;Herr;Burchard;Neis;;Albert-Schweitzer-Ring;90;67316;Carlsberg;06356/93257089;0172/8628020;burchard-neis@email.none;26.02.2023
623;Frau;Jolante;Schwalm;;Wissener Straße;91;84364;Bad Birnbach;;;jolante_schwalm@domain.none;26.01.2007
624;Herr;Einhard;Schrödl;;Eitelborner Straße;60;96157;Ebrach;09553/916822;0162/7526314;einhardschroedl@private.none;25.08.1964
625;Frau;Judith;Waas;11.09.2007;Richard-Strauß-Straße;97;66989;Petersberg;06334/91531592;;jwaas@hoster.none;23.09.2021
626;Frau;Radegundis;Greis;;Am Wolfsberg;40;33617;Bielefeld;0521/65623634;0151/2919504;radegundis.greis@retromail.none;12.06.2007
627;Herr;Bringfried;Kraut;;Paradiesstraße;66;56459;Rotenhain;;0170/6022573;bringfriedkraut@retromail.none;25.07.1959
628;Herr;Fabio;Anthes;;Im Gäßchen;57;38226;Salzgitter;05341/51562658;0163/7615723;f.anthes@private.none;16.03.1992
629;Herr;Dietrich;Knaup;;Johannesplatz;35;54518;Platten;06571/28283249;0154/8591716;dietrich_knaup@kitty.none;12.10.1964
630;Herr;Manfred;Schirmacher;;Hiegenbusch;62;16348;Marienwerder;03337/78862995;0165/9927543;m.schirmacher@quickmail.none;30.06.2022
631;Frau;Reglindis;Hempen;;Roermonder Straße;173;53534;Pomster;02691/19972616;0158/4065480;r_hempen@inter-mail.none;26.10.1963
632;Frau;Ria;Riehle;;Nordheller Weg;50;39606;Düsedau;03937/52520080;0169/6004372;ria.68@web.none;08.07.2021
633;Herr;Roman;Eichholz;;Am Krummen Acker;185;54518;Altrich;06571/49235213;0164/2413808;roman_eichholz@company.none;17.09.2010
634;Frau;Renilde;Kleindienst;;Langdorfer Straße;130 b;46395;Bocholt;02871/41575751;0162/9434627;renilde.kleindienst@retromail.none;31.12.1999
635;Herr;Aribert;Mainka;;Heinrich-von-Gagern-Straße;67;54539;Ürzig;;0165/5748300;;18.03.1999
636;Frau;Christine;Pfitzer;16.02.1902;Mötzower Landstraße;198;28203;Bremen;;0159/9857743;christine-pfitzer@ultramail.none;18.05.1968
637;Herr;Thoralf;Rothermel;;Bärenacker;1;55437;Ober-Hilbersheim;;0165/9577559;;11.12.2017
638;Frau;Waltraud;Luther;;Lange Wiese;122;54597;Ormont;06597/72862568;0178/2645130;waltraud.01@ultramail.none;06.01.2023
639;Frau;Juditha;Pick;31.10.1955;Nohner Straße;19;47509;Rheurdt;;0157/4904416;j_pick@email.none;13.11.2003
640;Frau;Brunhildis;Aksoy;;Auf'm Eichhahn;186;23701;Eutin;04521/96799736;0165/1195440;;10.03.1992
641;Herr;Einhard;Dauber;21.08.1961;Sulmisheimer Weg;45;39638;Hottendorf;03907/5820528;0177/8705831;einhard_dauber@mymail.none;16.12.1967
642;Herr;Ignaz;Bethke;;Köntrup;70;63846;Laufach;06093/73297989;0177/7946205;ignaz.bethke@private.none;15.06.1980
643;Frau;Dinah;Wever;;Naheweg;100;84107;Weihmichl;08708/16122474;0169/7097923;dinah_1997@live-mail.none;19.12.2002
644;Herr;Justin;Pritzl;;Laurentiusstraße;19;56727;Mayen;02651/44010372;0164/5048249;justin_pritzl@bestmail.none;21.02.2002
645;Frau;Loremarie;Akyol;;Im Trog;108;24641;Sievershütten;04194/96254596;0173/9386032;;28.11.2021
646;k.A.;Burghard;Erkens;;Hillnhütter Straße;12;76891;Bobenthal;06394/53466329;;;22.10.1926
647;k.A.;Burkhild;Werle;;Knippchen;191;57647;Enspel;02661/41583552;;burkhild-98@email.none;13.11.1999
648;k.A.;Hiltraut;Carstensen;17.05.2000;Zum Thiesenhof;114;17309;Koblentz;03973/35604747;0156/3211881;hiltraut_2000@live-mail.none;06.12.2022
649;Frau;Annemirl;Bellmann;;Kalverkamp;38;91180;Heideck;09177/19935971;0167/6524341;annemirlbellmann@funmail.none;11.09.1955
650;Herr;Hansl;Zindel;;Waldorfstraße;184;49170;Hagen am Teutoburger Wald;;0155/4451283;hanslzindel@hoster.none;05.05.1981
651;Frau;Tabea;Sellmann;;Mühlackerweg;68;67742;Lauterecken;06382/72553810;0152/1624505;tabea_sellmann@quickmail.none;22.10.1945
652;Herr;Allmar;Schlingmann;;Wendelinusstraße;111c;85764;Oberschleißheim;089/95176682;;a-1989@web.none;23.08.2002
653;Herr;Reinhard;Neidhardt;;Rüberer Straße;85;27628;Sandstedt;;0152/4195265;reinhard_88@bestmail.none;30.09.1998
654;Frau;Sylvia;Lindenthal;;Reverts Esch;58;55595;Spabrücken;0671/59427719;0171/8393601;sylvia.lindenthal@email.none;14.05.1979
655;Herr;Antonius;Leiß;25.05.1964;Otto-Hahn-Straße;80;73732;Esslingen am Neckar;0711/92899719;;a.64@net-mail.none;11.01.1988
656;Frau;Kimberley;Gottschlich;;Postplatz;42;72226;Simmersfeld;;0168/9191835;kimberley.gottschlich@live-mail.none;31.10.2000
657;Herr;Rafael;Strubel;05.04.1909;Wöste;166;70794;Filderstadt;0711/20925581;0172/3302732;rafael-strubel@hoster.none;02.01.1948
658;k.A.;Achaz;Rentschler;;Bentheimer Straße;102;76889;Kapsweyer;06343/10324669;;achaz_rentschler@net-mail.none;29.04.2005
659;k.A.;Ilse;Krell;20.12.1932;Hochfeld;129;56648;Saffig;02625/4212874;0165/8528997;ilse1932@bestmail.none;18.02.1985
660;Frau;Sonnhilde;Schoofs;;Ritterstraße;134;97794;Rieneck;09354/79872719;;;21.04.2020
661;k.A.;Constanze;Bautz;;Tränkelbachstraße;98;55546;Hackenheim;0671/55240417;0157/1298895;constanze-bautz@bestmail.none;08.03.2013
662;Frau;Gerthilde;Carmen;;Landauerweg;159;37290;Meißner;05657/43057156;;;19.03.2015
663;Frau;Hannelotte;Faustmann;01.06.1997;Hofacker;191;54614;Dingdorf;06553/14096662;0177/4962085;h_faustmann@anymail.none;08.11.2002
664;Frau;Fiona;Heidrich;18.07.1983;Krautsgasse;185;25980;Rantum;04651/35503994;;fiona-heidrich@spam-mail.none;12.08.1997
665;Frau;Roselore;Heinicke;;Fürst-zu-Salm-Horstmar-Straße;46;55767;Schwollen;;;r_heinicke@inter-mail.none;23.01.2015
666;Herr;Berni;Heyn;;Gaswerkstraße;200;72202;Nagold;07452/54522352;0170/8523216;;24.07.1957
667;Herr;Dirk;Beuter;10.07.1951;Waldhufenstraße;109;83626;Valley;;0174/9209707;dirk-beuter@private.none;03.05.2019
668;Frau;Arlinde;Harz;26.10.1963;Matterhornstraße;34;24977;Westerholz;;;arlinde63@hoster.none;24.03.2010
669;Herr;Edelmut;Mühl;;Bruchermühlenstraße;26;86944;Unterdießen;08243/18494762;0151/2345919;edelmutmuehl@kitty.none;23.07.1922
670;Herr;Victor;Puff;;Bodener Weg;160;56414;Dreikirchen;06435/59795038;0154/9392433;victor_22@justmail.none;09.02.2023
671;Frau;Sindy;Schultze;03.04.1944;Eltzer Straße;70;47918;Vorst;02156/94159454;0168/6994196;sindy_schultze@domain.none;05.07.2013
672;Herr;Finn;Wink;;Hinter der Mauer;195;55592;Desloch;06753/59784024;;finn-70@live-mail.none;30.09.1996
673;Frau;Lily;Brumm;;Fiersbacher Straße;143;68723;Oftersheim;06202/80280168;;lily_brumm@domain.none;15.05.2015
674;Frau;Rebecka;Dicke;10.07.1940;Emil-Mayrisch-Straße;121;57612;Idelberg;02681/27704967;0177/7086219;rebeckadicke@kitty.none;11.12.2012
675;Herr;Stefan;Herbold;;Schachtweg;169;73457;Essingen;07365/59591092;;stefan_herbold@web.none;18.03.2013
676;Herr;Pierre;Ehling;;Brinkweg;157;34270;Schauenburg;05601/19408864;;p-ehling@xyz.none;16.04.2023
677;Frau;Mareike;Muck;22.10.2006;Huschweg;126;91478;Markt Nordheim;09106/36626810;0155/7658192;;08.05.2008
678;Herr;Dietz;Landgraf;;Am Waldpark;168;41747;Viersen;;0159/5708283;dietz10@private.none;17.04.2015
679;Herr;Hartmuth;Hild;04.09.1944;Wippeskuhlen;103;47167;Duisburg;;;hartmuth-1944@kitty.none;02.05.1995
680;Frau;Resi;Kaluza;;Hohenbergringstraße;89;34125;Kassel;0561/85526185;0156/6761084;r_kaluza@spam-mail.none;08.10.1952
681;Herr;Rembert;Gronewold;31.01.1927;Feldstiege;21;54646;Olsdorf;06561/92770340;0169/1928231;;10.04.1936
682;Frau;Roswita;Enger;;Siebenborn;188;55469;Schönborn;06761/24411925;;;17.11.1949
683;Herr;Frowin;Backer;;Kommerner Straße;67 a;85456;Wartenberg;08762/7392953;;f.1960@justmail.none;11.10.1998
684;k.A.;Engelberta;Deeg;;Eitelborner Straße;76;31626;Haßbergen;05024/23930412;0152/5788568;engelberta-deeg@company.none;19.11.1994
685;Herr;Herbert;Hillenbrand;;Böwingring;134;95355;Presseck;09222/70709304;0159/9317101;h.hillenbrand@anymail.none;30.12.1983
686;Frau;Lindhilde;Jürgensen;;Elbringhausen;23;85244;Röhrmoos;08139/34293869;0168/2750374;;02.08.1948
687;Frau;Monja;Ringer;;Hufschmiedskamp;18;74925;Epfenbach;;0177/3460596;;29.12.1974
688;Frau;Rosely;Burghart;14.06.1975;St.-Johannes-Straße;6;66909;Matzenbach;;;rosely1975@hoster.none;24.06.1994
689;Herr;Rainer;Stuke;;Schönangerstraße;127;38470;Parsau;05368/62464385;0177/5832421;rainer-stuke@email.none;04.08.2012
690;Frau;Kimberley;Abt;;Niklaus-Ehlen-Weg;149;74930;Ittlingen;;0170/2752643;;22.02.2018
691;Herr;Siegbert;Bürger;;Präsidentenstraße;187;23919;Göldenitz;04544/78567900;0163/1349717;;07.11.1974
692;Herr;Tilman;Paetsch;;Ina-Seidel-Straße;3;88484;Gutenzell-Hürbel;07352/93672816;0153/2331883;t.paetsch@spam-mail.none;27.05.1966
693;Herr;Gerdfried;Stützer;;Siegener Straße;198;26605;Aurich;04941/92829032;;gerdfried_stuetzer@justmail.none;16.09.1974
694;Frau;Adelheide;Feist;;Kesselstruth;54;18276;Klein Upahl;;0167/6666395;adelheide-feist@anymail.none;13.09.1962
695;Frau;Rhiane;Lachmann;;Am Krängel;134;54316;Ollmuth;0651/69228177;;rhiane_lachmann@private.none;09.10.1943
696;Herr;Siegward;Kretz;;Gangolfusstraße;68;44789;Bochum;0234/79418745;0158/7947191;;08.07.1993
697;Frau;Elsabe;Friedrich;;Petersberg;117;55234;Wendelsheim;;;;25.10.1956
698;Herr;Ursus;Sehr;13.04.1987;Abteistraße;197;36269;Philippsthal;;0165/4369481;ursus.sehr@company.none;14.07.1987
699;Herr;Hansfried;Steigerwald;;Betzdorfer Straße;82;71277;Rutesheim;07152/82459723;;h.steigerwald@open-mail.none;25.08.2002
700;Herr;Augustin;Tölke;;Sötenicher Straße;17;85395;Attenkirchen;08168/26590617;0156/6513094;;06.02.1958
701;Frau;Siegfriede;Steffens;;Steverstraße;157;25599;Wewelsfleth;04829/14588040;0152/1907842;siegfriede.steffens@kitty.none;22.04.1969
702;Herr;Engelbert;Appel;25.06.2005;Mittelbachstraße;166;55758;Mackenrodt;06785/31386730;0157/6493539;;12.02.2014
703;Herr;Edelwald;Wentzel;11.03.1954;Am Schützenplatz;164;67159;Friedelsheim;;0173/8451441;;30.09.1986
704;Frau;Anastasia;Siemes;;Alfred-Nobel-Straße;73;89368;Winterbach;08222/90881056;;asiemes@spam-mail.none;16.11.2013
705;Herr;Tristan;Hillmer;09.05.2016;Benrather Straße;59 b;44532;Lünen;02306/78565619;0170/3284299;tristan-hillmer@mymail.none;19.03.2023
706;Frau;Marta;Reeh;20.04.1967;Zu den Eichen;16;25566;Rethwisch;;0152/2598324;mreeh@goggle-mail.none;03.12.2008
707;Frau;Friedliese;Krümmel;24.03.1941;Gronauer Straße;4;88693;Deggenhausertal;07555/29192537;0169/1854110;f_kruemmel@web.none;27.02.1962
708;Frau;Sabrina;Keinath;09.10.1976;Hallering;116;63773;Goldbach;06021/61582936;0153/1952119;s-keinath@live-mail.none;17.08.2003
709;Frau;Michelle;Steenbock;;Am Sauerbrunnen;9;55595;Mandel;0671/83993942;0150/7953535;michelle_steenbock@mymail.none;21.09.1962
710;Frau;Celia;Edelmann;;Leichtgraben;160;55758;Niederwörresbach;06785/20721589;0163/5577892;c_edelmann@ultramail.none;14.11.2010
711;Herr;Dietfried;Hillebrandt;17.09.1947;Josef-Wagner-Straße;162;40545;Düsseldorf;0211/88494083;0163/2389772;d-hillebrandt@bestmail.none;29.08.2022
712;Frau;Biggy;Harth;;Prosperstraße;43;41199;Mönchengladbach;02161/42536689;0152/2848892;biggy_harth@web.none;31.03.2014
713;Herr;Ekkehard;Kellner;15.12.2011;Lübecker Weg;165;22946;Trittau;04154/74446041;0166/9065528;ekkehard11@domain.none;23.02.2020
714;Frau;Ilona;Heer;;Gahlener Straße;131;71159;Mötzingen;;;ilonaheer@xyz.none;23.09.2017
715;Frau;Almute;Deichmann;;Tiefental;197;94501;Beutelsbach;;0172/7350666;almute-49@mymail.none;19.08.1965
716;Herr;Dankwart;Marth;;Am Flürchen;45;54675;Kruchten;06564/97397334;0154/6865514;d_marth@bestmail.none;27.07.2011
717;Frau;Reny;Horvat;;Wiehagen;146;24214;Neuwittenbek;04346/8606161;0170/4859014;reny.horvat@hoster.none;14.01.2000
718;Herr;Dietmund;Gebhardt;;Aachener Straße;198;58099;Hagen;02331/2837329;;;11.09.2016
719;Herr;Weikhard;Schwitalla;;Merschkamp;188;50737;Köln;;;;19.04.2023
720;Frau;Céline;Goller;;Urftseestraße;87;24882;Schaalby;04622/53999918;0153/5251562;;31.08.1939
721;Frau;Sibille;Weirich;;Im Hofacker;152;80798;München;089/52618731;0165/5798228;s_weirich@net-mail.none;21.10.2022
722;Frau;Heike;Schüssler;;Bärenacker;64;63505;Langenselbold;06184/7940395;;h-schuessler@spam-mail.none;04.04.2021
723;Herr;Levin;Hantel;;Holmichstraße;171 a;59071;Hamm;02381/6771869;0173/6468033;l_hantel@private.none;04.10.2013
724;Herr;Willmar;Eckardt;;Borgkamp;26;44801;Bochum;0234/44936567;;willmareckardt@net-mail.none;23.12.1992
725;Herr;Marten;Bambach;;Oberseifener Straße;16;55471;Wüschheim;06761/42248093;;m_bambach@email.none;22.12.2013
726;Frau;Isabella;Springmann;;Christian-Heibel-Straße;168;87527;Sonthofen;08321/8419892;;isabella.springmann@validmail.none;25.10.1985
727;Herr;Hartwig;Richartz;;Bachstelzenweg;17;56589;Niederbreitbach;02638/17235770;0177/6128610;hrichartz@xyz.none;28.06.2012
728;Herr;Otwald;Plath;;Obere Lehmerhöfe;137;35519;Rockenberg;06033/14603315;0153/3049621;otwald.plath@private.none;05.10.1944
729;Herr;Rupertus;Hann;21.11.1975;Hellerstraße;156;91091;Großenseebach;09135/90132275;0172/1600682;rupertus_hann@hoster.none;22.09.2006
730;Herr;Grimbert;Steller;;Bernhardstraße;114;78087;Mönchweiler;07721/6561118;0174/6075933;g_steller@ultramail.none;02.02.2022
731;Herr;Jasper;Hüsing;;Försterstraße;30;54552;Strotzbüsch;06592/3662285;0167/7906207;jasper_huesing@net-mail.none;26.07.2012
732;Frau;Sidonie;Heidemann;;Emilienstraße;151;83373;Taching am See;08681/77884726;0177/7358079;sidonie_heidemann@kitty.none;25.03.1998
733;Frau;Marietta;Kolar;;Brinkweg;57;86707;Kühlenthal;08273/33800772;0176/5100575;;08.02.2017
734;Frau;Mania;Liehr;;Jungfrauenthal;48;88361;Boms;;;m58@ultramail.none;19.04.1979
735;Herr;Rupprecht;Pankow;;Velener Straße;22;37434;Rollshausen;05528/14415310;0167/6340224;r1910@open-mail.none;28.12.1979
736;Frau;Kristine;Pollok;;Martin-Luther-King-Straße;198;54518;Dodenburg;06571/67440605;0157/6941806;;27.09.2013
737;Frau;Annetrude;Foth;11.02.2004;Ohmstraße;128;71126;Nebringen;07032/13438289;;annetrude.foth@goggle-mail.none;17.12.2019
738;k.A.;Wilbert;Gerner;23.08.1916;Kastorbachstraße;132;54570;Oberstadtfeld;06592/69900959;0164/3689113;;20.03.1939
739;Herr;Jonathan;Stegemann;;Franz-Sellhorst-Straße;47;23845;Grabau;04531/36750034;0152/2564378;j.71@funmail.none;01.07.2007
740;k.A.;Mark;Konz;;Friedrich-Naumann-Straße;177;56477;Zehnhausen;02664/70243783;0160/5569629;mark_konz@goggle-mail.none;15.11.2010
741;Herr;Rainald;Heuberger;09.04.1948;Steegerhütte;101;26723;Emden;04921/49476346;0169/2039175;rainald48@kitty.none;14.02.1989
742;Frau;Sylvelin;Ehrentraut;;Bäckerstraße;121c;56424;Moschheim;02602/98204366;0167/4422799;sylvelin.ehrentraut@email.none;27.04.2001
743;Frau;Gundhilde;Brönner;;Stallhaus;48;65510;Idstein;06126/83767034;0151/6708203;;25.07.1970
744;Frau;Rita;Herfurth;;Husarenstraße;195;28757;Bremen;0421/39815966;0164/1690943;ritaherfurth@justmail.none;13.09.1974
745;Herr;Conner;Wienand;27.04.1962;Ober-Erler-Straße;27;21762;Otterndorf;04751/94427784;0168/8675638;;11.03.1963
746;Herr;Freimund;Köthe;;Tondernstraße;40;37642;Holenberg;05532/92629117;0152/6084590;freimund_92@ultramail.none;06.11.2009
747;Herr;Walbert;Crone;;Konsul-Cassel-Straße;164;30453;Hannover;0511/75234392;0171/5760931;wcrone@private.none;07.05.2021
748;Frau;Felizitas;Haller;;Neumühlenstraße;147;59269;Beckum;02521/91619901;0171/6903860;felizitashaller@private.none;20.11.2022
749;Herr;Norfried;Jünemann;;Margeritenstraße;8;95473;Haag;09270/32784835;0170/7774347;norfried.juenemann@ultramail.none;25.06.1985
750;Frau;Oda;Cassens;16.11.1912;Holzheimer Straße;168 b;67822;Niedermoschel;;0175/5234714;oda-cassens@retromail.none;04.11.1918
751;Frau;Marei;Rentsch;;Kinnenbitze;166;60308;Frankfurt am Main;;0178/7157526;marei_rentsch@justmail.none;17.03.2023
752;Frau;Rosina;Prenzel;;Schmiedeweg;12;55442;Warmsroth;;0162/7846651;rosina-prenzel@funmail.none;03.11.1959
753;Frau;Ingetraut;Gleichmann;11.05.1944;Zechenwaldstraße;196;56290;Uhler;06762/43254248;;ingetraut.gleichmann@spam-mail.none;14.09.1987
754;Herr;Walbert;Boes;;Bodo-Uhse-Straße;84;55471;Sargenroth;;0179/4972689;walbert-boes@live-mail.none;14.05.2023
755;Herr;Otmar;Reiher;;Oscar-Wilde-Straße;139;24306;Wittmoldt;04522/82395176;0169/4845853;otmar-reiher@goggle-mail.none;07.07.1953
756;Frau;Helmtraud;Braig;16.05.1937;Kalter Rain;173;64331;Weiterstadt;06150/54598698;0165/2960669;helmtraud.1937@email.none;13.01.1970
757;Herr;Melchior;Brauchle;;Twielenfleth-Am Deich;45;25788;Wallen;04838/44806088;0161/3698745;melchiorbrauchle@live-mail.none;20.02.1994
758;Herr;Uwe;Schnier;24.05.1990;Bönener Straße;174;25779;Hägen;;;uwe-schnier@quickmail.none;13.08.1994
759;Herr;Marcellus;Huke;;Simon-Meister-Straße;52;25797;Neuenkrug;04839/38427797;0152/4243625;m.1943@quickmail.none;21.12.2004
760;Frau;Roselene;Austermann;;Dachsweg;27;45701;Herten;02366/68046668;0153/2779984;roselene-81@domain.none;10.07.1989
761;k.A.;Karla;Huesmann;;Ursprungstraße;164;42897;Remscheid;02191/71146055;;karla-huesmann@company.none;24.12.1936
762;Herr;Reinald;Williamson;;Schmiedstraße;185;06749;Bitterfeld;03493/13511731;0175/4368302;r-30@bestmail.none;30.12.1932
763;Herr;Gottlieb;Dexheimer;;Oberer Dalmerweg;25;25779;Kleve;04836/28779689;0165/5328870;g_1910@validmail.none;15.11.1992
764;Herr;Reinfried;Manzke;;Heidenheimer Straße;107;67271;Neuleiningen;06359/73043988;0171/1984462;reinfried.1949@open-mail.none;14.04.1974
765;Herr;Magnus;Skibbe;;Bernsteinstraße;89;24782;Rickert;04331/16126718;;magnus21@open-mail.none;07.09.2021
766;Herr;Christhard;Grebner;05.11.1936;Braubacher Straße;28;34327;Körle;05665/50587294;;;03.09.1947
767;Frau;Helma;Baar;;Steinchen;164;40221;Düsseldorf;;0164/9587952;helmabaar@hoster.none;28.11.2022
768;Frau;Theres;Hellmich;19.08.2020;Immelmannstraße;158;17498;Neuenkirchen;03834/92350443;0162/4487644;;22.01.2023
769;Herr;Goswin;Streicher;;Heimstraße;122;35583;Wetzlar;06441/2938301;0157/8846372;;22.04.1981
770;Herr;Moritz;Beller;;Klopstockstraße;55;96148;Baunach;;0151/9468006;;10.12.1995
771;Herr;Volkrad;Hüttel;;Sieben Morgen;160;24107;Quarnbek;04340/94816770;;volkrad.huettel@trashmail.none;28.10.1918
772;Frau;Florentine;Brouwer;;Heukers Weide;131;56859;Bullay;06542/41523660;;florentine.brouwer@private.none;08.11.1979
773;Herr;Theo;Kuss;;Wilkestraße;154;89568;Hermaringen;07322/7842086;;theokuss@justmail.none;09.02.2021
774;Herr;Kai;Farmer;;Am Moselhang;106;66620;Nonnweiler;06873/58118504;;kai-farmer@company.none;10.12.1993
775;Frau;Milena;Krauskopf;25.08.1974;Marienplatz;11;75031;Eppingen;07262/570710;0157/2856011;;09.07.2011
776;Herr;Frohwald;Schubert;;Memmertweg;5;45276;Essen;0201/41095411;0175/6491230;frohwaldschubert@web.none;15.04.1935
777;Herr;Heinzhermann;Freier;10.01.1928;Nonnenhöfchen;157;83129;Höslwang;;0161/4179155;heinzhermannfreier@bestmail.none;20.08.1935
778;Herr;Sigisbert;Kus;27.09.1989;Breitscheidstraße;121;25924;Emmelsbüll-Horsbüll;04665/86262928;0151/4471618;s-kus@spam-mail.none;28.12.1991
779;k.A.;Heidegard;Schmidtke;;Bitzchen;102;25355;Barmstedt;04123/99867653;0168/9803857;heidegard.schmidtke@funmail.none;18.02.2022
780;Frau;Bernhild;Hirtreiter;30.11.1913;Am Limberg;56;88250;Weingarten;0751/3327754;0163/2793438;bernhildhirtreiter@inter-mail.none;19.09.1976
781;Herr;Frankmut;Pearson;;Zum Kalkofen;22;67167;Erpolzheim;06353/55240078;0159/2607709;frankmut.pearson@funmail.none;12.01.1973
782;Herr;Wilfried;Weaver;;Haltern;19;37434;Wollbrandshausen;05528/59722854;0152/1726865;wilfried.weaver@goggle-mail.none;27.09.2012
783;Frau;Hannemarie;Lieser;;Fackenhahner Weg;76;74211;Leingarten;07131/6101973;0171/8093391;hannemarie-lieser@quickmail.none;22.06.1986
784;Herr;Ottomar;Rogler;;Ziegelstraße;71;38100;Braunschweig;0531/35237689;0153/3157919;ottomar_rogler@open-mail.none;11.12.1991
785;Herr;Pius;Jessen;;Himmelsburger Straße;158;39418;Staßfurt;03925/54704139;0153/6659621;pius.1946@open-mail.none;02.01.1960
786;Herr;Dietbert;Kappel;12.06.1973;Milter Straße;92;55457;Horrweiler;06701/99249635;0160/2872990;dietbert-kappel@funmail.none;05.03.2003
787;Herr;Rotger;Gerland;;Hainweg;105;41239;Mönchengladbach;02161/34284154;;rotger_gerland@quickmail.none;18.01.1918
788;Herr;Knut;Hilpert;;Oberhofer Straße;173;55481;Hecken;06763/8964559;0176/5472433;k1926@web.none;28.12.2022
789;k.A.;Titus;Wiesner;;Taeglichsbeckstraße;40;31079;Eberholzen;05065/47264301;0154/1410362;tituswiesner@ultramail.none;27.02.1955
790;Herr;Eckert;Kowalczyk;02.05.1902;Leichtgraben;109;56459;Langenhahn;02663/4955115;;;27.05.1940
791;Herr;Wolfdietrich;Fliege;;Höven;26;79258;Hartheim;07633/43557955;0152/5115889;w_fliege@web.none;08.11.2018
792;Frau;Almtrud;Thönnes;;Arenbergstraße;14;54552;Utzerath;06592/8913898;0151/3624409;almtrud_thoennes@hoster.none;21.02.2020
793;Frau;Neele;Lehnhardt;;Grafschafter Straße;87;24376;Hasselberg;04643/54448275;;neele.lehnhardt@xyz.none;14.03.1963
794;Herr;Sighard;Stoiber;;Mühle;39;41541;Dormagen;02133/49659984;0179/7079202;sighard.stoiber@bestmail.none;04.02.2005
795;k.A.;Wolfried;Rath;;Am Pilgerborn;52;74423;Obersontheim;07973/13599602;0156/4459633;wolfried.rath@web.none;20.03.1998
796;Herr;Siegmar;Pfeffer;;Gibbinghausen;9;45259;Essen;;;siegmar_pfeffer@bestmail.none;14.10.1941
797;Herr;Hartwald;Schrimpf;;Haunerbusch;79;72145;Hirrlingen;07478/18107516;;hartwaldschrimpf@net-mail.none;21.10.1987
798;Herr;Abraham;Claus;;Bernshuck;1;76199;Karlsruhe;0721/6035322;0166/2642202;aclaus@hoster.none;14.10.2016
799;Frau;Elfie;Falck;02.08.1933;Am Deich;35;94269;Rinchnach;09921/42993194;0154/9575063;;11.12.1946
